Planet number, Real Period, Calculated Period, Period uncertainty, Result, Real t0, t0 calculated, t0 result, TLS outcome, G2 star
Planet A1.87,  48.776908820623035, 2.29408 d, 0.00023507023856650378, Wrong Period,  23.863609387449557 d, 1.16562 d, Wrong t0 value, Transit not found
Planet A1.88,  72.08074251918006, 21.02550 d, 0.007513396378149295, Wrong Period,  65.3402344492561 d, 17.64964 d, Wrong t0 value, Transit not found
Planet A1.89,  52.87153763109248, 0.90034 d, 4.5028377214595405e-05, Wrong Period,  11.10538298517651 d, 0.45656 d, Wrong t0 value, Transit not found
Planet A1.90,  40.387810949185514, 218.41384 d, 0.17035172894780715, Wrong Period,  5.300540402455734 d, 113.85365 d, Wrong t0 value, Transit not found
Planet A1.91,  73.4273661715207, 218.41384 d, 0.17035172894780715, Wrong Period,  9.971015681538365 d, 113.85365 d, Wrong t0 value, Transit not found
Planet A1.92,  0.41244502508595016, 0.82488 d, 0.00010016722165917535, Correct Period,  0.21052829220121433 d, 0.21450 d, Correct t0 value, Found Correct Transit
Planet A1.93,  56.867489587631766, 129.15005 d, 0.03381183051237713, Wrong Period,  6.745717117348418 d, 28.85763 d, Wrong t0 value, Transit not found
Planet A1.94,  69.76487584099554, 363.23447 d, 0.13423280726283338, Wrong Period,  60.15140819834232 d, 356.72572 d, Wrong t0 value, Transit not found
Planet A1.95,  55.48651573861257, 0.90034 d, 4.5028377214595405e-05, Wrong Period,  48.85482546570965 d, 0.45656 d, Wrong t0 value, Transit not found
Planet A1.96,  7.808637248615219, 65.01225 d, 0.020306441815279186, Wrong Period,  7.6608451062798535 d, 27.48720 d, Wrong t0 value, Transit not found
Planet A1.97,  35.375658584857334, 218.41384 d, 0.17035172894780715, Wrong Period,  24.892047216050152 d, 113.85365 d, Wrong t0 value, Transit not found
Planet A1.98,  11.32324602488642, 2.29408 d, 0.00023507023856650378, Wrong Period,  7.659090953381017 d, 1.16562 d, Wrong t0 value, Transit not found
Planet A1.99,  36.04078585742395, 75.80631 d, 0.024928975549059373, Wrong Period,  28.549677721662494 d, 5.65707 d, Wrong t0 value, Transit not found
Planet A1.100,  2.9250193392457993, 2.92487 d, 0.0005416420483075335, Correct Period,  1.885476241234494 d, 1.90815 d, Correct t0 value, Found Correct Transit
