Planet number, Real Period, Calculated Period, Period uncertainty, Result, Real t0, t0 calculated, t0 result, TLS outcome, G8 star
Planet A1.93,  8.474856387103566, 251.68550 d, 0.37028691183192564, Wrong Period,  5.856197071719652 d, 226.48220 d, Wrong t0 value, Transit not found
Planet A1.94,  0.26055398898613136, 0.78166 d, 0.00011188083942625937, Correct Period,  0.12072439636583097 d, 0.11982 d, Correct t0 value, Found Correct Transit
Planet A1.95,  54.04830989871067, 225.51278 d, 0.4978733154336368, Wrong Period,  33.470039668751426 d, 43.51719 d, Wrong t0 value, Transit not found
Planet A1.96,  0.9881210348865077, 0.98809 d, 0.00020389124008074466, Correct Period,  0.6709109223462282 d, 0.67704 d, Correct t0 value, Found Correct Transit
Planet A1.97,  0.6737953828848009, 0.67379 d, 0.00010708310266638321, Correct Period,  0.38741167014620254 d, 0.39207 d, Correct t0 value, Found Correct Transit
Planet A1.98,  40.835471327769184, 4.82069 d, 0.0010543936219278294, Wrong Period,  24.866512161331613 d, 4.77774 d, Wrong t0 value, Transit not found
Planet A1.99,  59.61449648028239, 225.51278 d, 0.4978733154336368, Wrong Period,  43.5332014951715 d, 43.51719 d, Correct t0 value, Transit not found
Planet A1.100,  22.88923959827787, 360.03184 d, 0.26531422575996544, Wrong Period,  5.458372306684095 d, 359.94316 d, Wrong t0 value, Transit not found
Planet A2.1,  70.08798313950876, 4.82069 d, 0.0010543936219278294, Wrong Period,  18.542630292327225 d, 4.77774 d, Wrong t0 value, Transit not found
Planet A2.2,  31.717838756644856, 31.71415 d, 0.020797293839056152, Correct Period,  11.789134532679405 d, 11.82649 d, Correct t0 value, Found Correct Transit
Planet A2.3,  23.631751322378953, 225.51278 d, 0.4978733154336368, Wrong Period,  15.296305682567251 d, 43.54750 d, Wrong t0 value, Transit not found
Planet A2.4,  63.99149496043806, 225.58389 d, 0.5335479774528977, Wrong Period,  42.73043974559198 d, 43.52080 d, Correct t0 value, Transit not found
Planet A2.5,  49.10092377512708, 202.60004 d, 0.5858473491608578, Wrong Period,  9.692138011675114 d, 89.71547 d, Wrong t0 value, Transit not found
Planet A2.6,  65.34068294552863, 360.03184 d, 0.26531422575996544, Wrong Period,  26.19240477830586 d, 359.94316 d, Wrong t0 value, Transit not found
Planet A2.7,  21.618450233245316, 226.72572 d, 0.286420362973999, Wrong Period,  9.755713564551165 d, 176.83338 d, Wrong t0 value, Transit not found
Planet A2.8,  35.45640341994486, 2.04368 d, 0.00013432601097074226, Wrong Period,  34.23396891846985 d, 1.03212 d, Wrong t0 value, Transit not found
Planet A2.9,  37.7140525240436, 4.82069 d, 0.0010543936219278294, Wrong Period,  24.443611618751525 d, 4.77774 d, Wrong t0 value, Transit not found
Planet A2.10,  43.677664156412774, 203.09388 d, 0.40214574769153444, Wrong Period,  30.508074891891734 d, 179.40982 d, Wrong t0 value, Transit not found
Planet A2.11,  3.251226011529773, 3.25116 d, 0.0007483683895288529, Correct Period,  1.9978466441718954 d, 1.99075 d, Correct t0 value, Found Correct Transit
Planet A2.12,  28.56481878013771, 251.68550 d, 0.575876969820456, Wrong Period,  28.287672855223526 d, 226.36842 d, Wrong t0 value, Transit not found
Planet A2.13,  31.198003003743484, 225.51278 d, 0.5333237270027809, Wrong Period,  28.64933752125602 d, 43.51719 d, Wrong t0 value, Transit not found
Planet A2.14,  20.76355459362917, 7.90554 d, 0.0012235989412330284, Wrong Period,  17.942935125988814 d, 5.18389 d, Wrong t0 value, Transit not found
Planet A2.15,  6.85473879302895, 6.85453 d, 0.002360220413007763, Correct Period,  3.2721810104653266 d, 3.28735 d, Correct t0 value, Found Correct Transit
Planet A2.16,  30.300637175056437, 1.51466 d, 0.000315365410710422, Wrong Period,  11.051007072613837 d, 0.56665 d, Wrong t0 value, Transit not found
Planet A2.17,  16.661054517348433, 16.65957 d, 0.006611227179716295, Correct Period,  2.5202048160639245 d, 2.54019 d, Correct t0 value, Found Correct Transit
Planet A2.18,  43.87170299740486, 1.51466 d, 0.00013513516619534371, Wrong Period,  23.545283340986206 d, 0.62009 d, Wrong t0 value, Transit not found
Planet A2.19,  22.761992008422073, 22.76251 d, 0.006681096492529903, Correct Period,  19.527321613492802 d, 19.48540 d, Correct t0 value, Found Correct Transit
Planet A2.20,  28.968070206906916, 1.12969 d, 6.093813467600295e-05, Wrong Period,  23.11836301105617 d, 0.84207 d, Wrong t0 value, Transit not found
Planet A2.21,  55.78200017085837, 251.60321 d, 0.6168767362067911, Wrong Period,  15.48991624897258 d, 226.01006 d, Wrong t0 value, Transit not found
Planet A2.22,  14.084568216218027, 14.08544 d, 0.005286444778603183, Correct Period,  3.3999001937279845 d, 3.37446 d, Correct t0 value, Found Correct Transit
Planet A2.23,  15.65442291092668, 203.03206 d, 0.3398629009582663, Wrong Period,  10.175297180261202 d, 179.47116 d, Wrong t0 value, Transit not found
Planet A2.24,  25.074951644534714, 360.03184 d, 0.26531422575996544, Wrong Period,  19.115457421310076 d, 359.94316 d, Wrong t0 value, Transit not found
Planet A2.25,  20.38688516879478, 1.12969 d, 6.093813467600295e-05, Wrong Period,  19.241553838202105 d, 0.34092 d, Wrong t0 value, Transit not found
Planet A2.26,  67.65271716163424, 360.03184 d, 0.26531422575996544, Wrong Period,  66.1617560580016 d, 359.88397 d, Wrong t0 value, Transit not found
Planet A2.27,  12.967321616519017, 12.96643 d, 0.004733231254798298, Correct Period,  8.794904957603428 d, 8.82195 d, Correct t0 value, Found Correct Transit
Planet A2.28,  33.62403832369283, 226.72572 d, 0.3222908113625209, Wrong Period,  17.65507810243255 d, 176.83338 d, Wrong t0 value, Transit not found
Planet A2.29,  51.14599481360255, 203.09388 d, 0.40230905553674745, Wrong Period,  15.07910158109856 d, 179.40982 d, Wrong t0 value, Transit not found
Planet A2.30,  25.912195138667016, 225.51278 d, 0.5333237270027809, Wrong Period,  23.006582546559855 d, 43.51719 d, Wrong t0 value, Transit not found
Planet A2.31,  45.10352009923079, 1.12969 d, 6.093813467600295e-05, Wrong Period,  15.190737473660375 d, 0.84207 d, Wrong t0 value, Transit not found
Planet A2.32,  60.117163447712635, 1.12969 d, 6.093813467600295e-05, Wrong Period,  53.36491906948462 d, 0.17935 d, Wrong t0 value, Transit not found
Planet A2.33,  23.62056086685364, 225.51278 d, 0.4978733154336368, Wrong Period,  0.22180931592339348 d, 43.54750 d, Wrong t0 value, Transit not found
Planet A2.34,  20.194134164480552, 359.76665 d, 1.1945053670625896, Wrong Period,  8.627902716215077 d, 134.84607 d, Wrong t0 value, Transit not found
Planet A2.35,  35.553506400125315, 2.04368 d, 0.00013432601097074226, Wrong Period,  32.99099594163595 d, 1.03212 d, Wrong t0 value, Transit not found
Planet A2.36,  49.450573434389916, 4.82069 d, 0.0008435640949762124, Wrong Period,  2.472305177692922 d, 4.77774 d, Correct t0 value, Transit not found
Planet A2.37,  28.78024172480325, 4.82069 d, 0.0008435640949762124, Wrong Period,  12.540164964116405 d, 4.77774 d, Wrong t0 value, Transit not found
Planet A2.38,  57.83411698311828, 251.60321 d, 0.6168767362067911, Wrong Period,  52.50622309922233 d, 226.01006 d, Wrong t0 value, Transit not found
Planet A2.39,  68.24000244180557, 360.29728 d, 1.526691376245708, Wrong Period,  39.028924036443925 d, 134.54295 d, Wrong t0 value, Transit not found
Planet A2.40,  56.94744118163771, 2.04368 d, 0.00013432601097074226, Wrong Period,  9.461906464648639 d, 1.03221 d, Wrong t0 value, Transit not found
Planet A2.41,  58.20811061843694, 251.60321 d, 0.6168767362067911, Wrong Period,  43.45907341076404 d, 226.01006 d, Wrong t0 value, Transit not found
Planet A2.42,  56.19083814194999, 360.29728 d, 1.526691376245708, Wrong Period,  31.97575283077937 d, 134.54295 d, Wrong t0 value, Transit not found
Planet A2.43,  65.11139846414103, 251.60321 d, 0.6168767362067911, Wrong Period,  43.79813397038747 d, 226.01006 d, Wrong t0 value, Transit not found
Planet A2.44,  70.28156014874774, 360.03184 d, 0.26531422575996544, Wrong Period,  62.85013660764411 d, 359.88397 d, Wrong t0 value, Transit not found
Planet A2.45,  1.2429330658951576, 1.24293 d, 0.00020764705382614324, Correct Period,  0.9832970982040615 d, 0.98068 d, Correct t0 value, Found Correct Transit
Planet A2.46,  12.553498582749482, 12.55111 d, 0.0052879633443740914, Correct Period,  9.306122417137276 d, 9.35613 d, Correct t0 value, Found Correct Transit
Planet A2.47,  28.99350133478008, 4.82069 d, 0.0008435640949762124, Wrong Period,  6.4802634470348055 d, 4.77774 d, Correct t0 value, Transit not found
Planet A2.48,  71.85966267464453, 360.03184 d, 0.26531422575996544, Wrong Period,  11.820319238181316 d, 359.88397 d, Wrong t0 value, Transit not found
Planet A2.49,  70.06800553772861, 180.18871 d, 0.5004762318764193, Wrong Period,  8.53318175634105 d, 44.40300 d, Wrong t0 value, Transit not found
Planet A2.50,  7.492997803011303, 202.78504 d, 0.30877819187500677, Wrong Period,  3.861671522732468 d, 179.72285 d, Wrong t0 value, Transit not found
Planet A2.51,  21.7265590116584, 2.04368 d, 0.00013432601097074226, Wrong Period,  0.16787556570356868 d, 1.03212 d, Correct t0 value, Transit not found
Planet A2.52,  14.956390574525463, 360.03184 d, 0.26531422575996544, Wrong Period,  10.541114488218993 d, 359.94316 d, Wrong t0 value, Transit not found
Planet A2.53,  36.60870210897872, 36.60347 d, 0.018883980590413074, Correct Period,  26.089458066226523 d, 26.12636 d, Correct t0 value, Found Correct Transit
Planet A2.54,  17.660205661577695, 2.04368 d, 0.00013432601097074226, Wrong Period,  4.299388217232671 d, 1.03221 d, Correct t0 value, Transit not found
Planet A2.55,  27.96429809671301, 1.12969 d, 6.093813467600295e-05, Wrong Period,  13.795773136537399 d, 0.34092 d, Wrong t0 value, Transit not found
Planet A2.56,  74.88123983076953, 225.51278 d, 0.4978733154336368, Wrong Period,  32.15851414259242 d, 43.51719 d, Wrong t0 value, Transit not found
Planet A2.57,  45.38576409788597, 225.51278 d, 0.4978733154336368, Wrong Period,  33.18091738641829 d, 43.51719 d, Wrong t0 value, Transit not found
Planet A2.58,  55.82019161676362, 180.18871 d, 0.47422770544372383, Wrong Period,  6.9543294457115525 d, 44.41040 d, Wrong t0 value, Transit not found
Planet A2.59,  45.574304907125835, 4.82069 d, 0.0008435640949762124, Wrong Period,  12.088677408459347 d, 4.77774 d, Wrong t0 value, Transit not found
Planet A2.60,  47.75352164743191, 203.09388 d, 0.40230905553674745, Wrong Period,  33.10591156579313 d, 179.40982 d, Wrong t0 value, Transit not found
Planet A2.61,  46.17757194904707, 225.51278 d, 0.4978733154336368, Wrong Period,  10.653035170596253 d, 43.51719 d, Wrong t0 value, Transit not found
Planet A2.62,  59.845432485105306, 2.04368 d, 0.00013432601097074226, Wrong Period,  1.1867916298948114 d, 1.03221 d, Correct t0 value, Transit not found
Planet A2.63,  57.773328451423545, 1.51466 d, 0.00013513516619534371, Wrong Period,  46.74606981724104 d, 0.62009 d, Wrong t0 value, Transit not found
Planet A2.64,  8.19089368673787, 8.19119 d, 0.002993023155254626, Correct Period,  3.5330707227432847 d, 3.52168 d, Correct t0 value, Found Correct Transit
Planet A2.65,  66.04311155087554, 251.60321 d, 0.6168767362067911, Wrong Period,  11.284296350618394 d, 226.01006 d, Wrong t0 value, Transit not found
Planet A2.66,  74.19542096366227, 180.18871 d, 0.5004762318764193, Wrong Period,  37.82700426582157 d, 44.41040 d, Wrong t0 value, Transit not found
Planet A2.67,  51.55576454342604, 51.55314 d, 0.019875257109958966, Correct Period,  7.452051142633735 d, 7.45102 d, Correct t0 value, Found Correct Transit
Planet A2.68,  62.31454689265316, 360.29728 d, 1.526691376245708, Wrong Period,  34.59729559468747 d, 134.54295 d, Wrong t0 value, Transit not found
Planet A2.69,  62.41793645850895, 2.04368 d, 0.00013432601097074226, Wrong Period,  9.26946647426995 d, 1.03221 d, Wrong t0 value, Transit not found
Planet A2.70,  71.1438728763947, 135.39649 d, 0.23418764767585287, Wrong Period,  20.430056086743722 d, 44.00856 d, Wrong t0 value, Transit not found
Planet A2.71,  62.39378542449529, 1.12969 d, 6.093813467600295e-05, Wrong Period,  43.36936311512902 d, 0.34747 d, Wrong t0 value, Transit not found
Planet A2.72,  20.46836215574359, 359.76665 d, 1.1950924561356544, Wrong Period,  9.98756198112479 d, 134.84607 d, Wrong t0 value, Transit not found
Planet A2.73,  15.435461614669546, 203.03206 d, 0.3398629009582663, Wrong Period,  8.75600576085984 d, 179.47116 d, Wrong t0 value, Transit not found
Planet A2.74,  42.62213409019512, 2.04368 d, 0.00013432601097074226, Wrong Period,  13.797381810359074 d, 1.03221 d, Wrong t0 value, Transit not found
