Planet number, Real Period, Calculated Period, Period uncertainty, Result, Real t0, t0 calculated, t0 result, TLS outcome, F5 star
Planet A2.54,  68.27256355276194, 72.59343 d, 0.03136008521040168, Correct Period,  31.236009702285642 d, 4.21859 d, Wrong t0 value, Transit not found
Planet A2.55,  28.076313941737894, 72.59343 d, 0.023523451092231085, Wrong Period,  14.961928798875586 d, 4.21859 d, Wrong t0 value, Transit not found
Planet A2.56,  65.67582237103129, 72.59343 d, 0.03136008521040168, Wrong Period,  35.83029760148294 d, 4.21859 d, Wrong t0 value, Transit not found
Planet A2.57,  54.96899521785474, 27.58906 d, 0.00431775921251365, Wrong Period,  24.67864947423449 d, 2.68287 d, Wrong t0 value, Transit not found
Planet A2.58,  20.52841045599419, 4.88967 d, 0.0004298482404396786, Wrong Period,  10.177736059701193 d, 2.03371 d, Wrong t0 value, Transit not found
Planet A2.59,  3.8159282631879785, 81.10903 d, 0.018184506669896905, Wrong Period,  2.797741993625876 d, 53.32312 d, Wrong t0 value, Transit not found
Planet A2.60,  42.81455725289787, 72.59343 d, 0.023523451092231085, Wrong Period,  22.294582567023774 d, 4.21859 d, Wrong t0 value, Transit not found
Planet A2.61,  39.65685664389115, 27.58906 d, 0.00431775921251365, Wrong Period,  4.364965574240292 d, 2.68287 d, Correct t0 value, Transit not found
Planet A2.62,  1.7760337923403202, 217.66616 d, 0.06781573770078353, Wrong Period,  1.3068526757037182 d, 70.91832 d, Wrong t0 value, Transit not found
Planet A2.63,  56.845751973014075, 1.11012 d, 5.953427598914818e-05, Wrong Period,  42.86009195508883 d, 0.57639 d, Wrong t0 value, Transit not found
Planet A2.64,  54.06743560931033, 2.08451 d, 0.00020686544102077598, Wrong Period,  27.14247261285912 d, 1.04988 d, Wrong t0 value, Transit not found
Planet A2.65,  57.72272663059059, 4.88967 d, 0.0004298482404396786, Wrong Period,  55.06688489448734 d, 2.03753 d, Wrong t0 value, Transit not found
Planet A2.66,  12.303238603129394, 280.92355 d, 0.19058563922934013, Wrong Period,  5.300148805838479 d, 23.05959 d, Wrong t0 value, Transit not found
Planet A2.67,  44.77132913064107, 27.58906 d, 0.00431775921251365, Wrong Period,  29.79651634237866 d, 2.68287 d, Wrong t0 value, Transit not found
Planet A2.68,  62.22683435521091, 27.58906 d, 0.00431775921251365, Wrong Period,  55.20226152991353 d, 14.26978 d, Wrong t0 value, Transit not found
Planet A2.69,  24.36705749878546, 217.66616 d, 0.06781573770078353, Wrong Period,  8.71128350910985 d, 70.92727 d, Wrong t0 value, Transit not found
Planet A2.70,  20.209557539906527, 1.11012 d, 5.953427598914818e-05, Wrong Period,  19.12042442823052 d, 0.57639 d, Wrong t0 value, Transit not found
Planet A2.71,  51.9633771379231, 4.88967 d, 0.0004298482404396786, Wrong Period,  16.413119466899413 d, 2.03753 d, Wrong t0 value, Transit not found
Planet A2.72,  7.677196076732484, 1.11012 d, 5.953427598914818e-05, Wrong Period,  4.750706512820739 d, 0.57639 d, Correct t0 value, Transit not found
Planet A2.73,  12.416853838609903, 149.64438 d, 0.12349149835625894, Wrong Period,  11.000362126541802 d, 134.76987 d, Wrong t0 value, Transit not found
Planet A2.74,  52.02438941529842, 2.08451 d, 0.00020686544102077598, Wrong Period,  14.644169689395664 d, 1.04936 d, Wrong t0 value, Transit not found
Planet A2.75,  53.62689141062553, 27.58906 d, 0.00431775921251365, Wrong Period,  28.6600173491019 d, 2.68287 d, Wrong t0 value, Transit not found
Planet A2.76,  45.77649098038294, 4.88967 d, 0.0004298482404396786, Wrong Period,  31.61775050054565 d, 2.03733 d, Wrong t0 value, Transit not found
Planet A2.77,  55.96390310423124, 73.14517 d, 0.015843705539012376, Wrong Period,  20.8110040815839 d, 46.64600 d, Wrong t0 value, Transit not found
Planet A2.78,  9.97778452811467, 27.58906 d, 0.00431775921251365, Wrong Period,  5.977539212221335 d, 2.68287 d, Correct t0 value, Transit not found
