Planet number, Real Period, Calculated Period, Period uncertainty, Result, Real t0, t0 calculated, t0 result, TLS outcome, F8 star
Planet B1.9,  143.7340969655898, 358.44463 d, 1.3187856062284027, Wrong Period,  79.52097826617883 d, 135.71331 d, Wrong t0 value, Transit not found
Planet B1.10,  120.68838336441273, 358.70852 d, 1.3850652939246118, Wrong Period,  73.28600460481185 d, 135.48188 d, Wrong t0 value, Transit not found
Planet B2.1,  115.02529182271323, 85.88932 d, 0.019627342720944796, Wrong Period,  75.20719912293922 d, 32.77876 d, Wrong t0 value, Transit not found
Planet B2.2,  97.97244423510475, 359.76665 d, 0.927234541296599, Wrong Period,  51.52497613014242 d, 314.32832 d, Wrong t0 value, Transit not found
Planet B2.3,  76.0169010833762, 76.03942 d, 0.08340090678146339, Correct Period,  61.73349292132839 d, 61.64848 d, Correct t0 value, Found Correct Transit
Planet B2.4,  86.01945647572549, 86.02686 d, 0.059025783294472944, Correct Period,  25.83072546983459 d, 25.80245 d, Correct t0 value, Found Correct Transit
Planet B2.5,  92.21097255062392, 92.22970 d, 0.07552731290164871, Correct Period,  77.4742780313145 d, 77.39154 d, Correct t0 value, Found Correct Transit
Planet B2.6,  126.47922828234942, 28.55215 d, 0.01129852908228024, Wrong Period,  110.60326154178948 d, 20.86516 d, Wrong t0 value, Transit not found
Planet B2.7,  123.89120065642032, 85.88932 d, 0.019627342720944796, Wrong Period,  42.067608997600225 d, 32.77876 d, Wrong t0 value, Transit not found
Planet B2.8,  102.24989304065357, 102.26843 d, 0.08668209744629252, Correct Period,  37.65730927431899 d, 37.61151 d, Correct t0 value, Found Correct Transit
Planet B2.9,  109.24571387260272, 359.76665 d, 0.927234541296599, Wrong Period,  50.911830997876784 d, 314.32832 d, Wrong t0 value, Transit not found
Planet B2.10,  121.16213906332094, 359.76665 d, 0.927234541296599, Wrong Period,  53.25567971942874 d, 314.32832 d, Wrong t0 value, Transit not found
Planet B3.1,  126.74500823770647, 153.11236 d, 0.04242510387902598, Wrong Period,  115.17100751882944 d, 62.50993 d, Wrong t0 value, Transit not found
Planet B3.2,  98.649369532934, 85.88932 d, 0.019627342720944796, Wrong Period,  68.19287110511922 d, 32.77876 d, Wrong t0 value, Transit not found
Planet B3.3,  86.74759158050576, 86.73886 d, 0.049708944222771834, Correct Period,  24.754876975116755 d, 24.78827 d, Correct t0 value, Found Correct Transit
Planet B3.4,  125.88646169606227, 125.89237 d, 0.08171284779849941, Correct Period,  34.789474769586015 d, 34.73723 d, Correct t0 value, Found Correct Transit
